Opp. Id;ContactId;RecordType.Name;Account.Name;Amount;Platform__c;CloseDate;Donation_Date__c;StageName;Campaign.Name
0065G00000oIlTmQAK;003f40000172mWTAAY;Donation;`0708;52,5;Qgiv;23.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTnQAK;0035G00002ARkWYQA1;Donation;`2939;262,5;Qgiv;23.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlToQAK;003f40000172nZJAAY;Donation;`1587;50;Qgiv;23.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTpQAK;0035G00002ARkWZQA1;Donation;`0818;26,25;Qgiv;22.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTqQAK;0035G00002ARkWaQAL;Donation;`4008;100;Qgiv;22.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTrQAK;0035G00001j8aiiQAA;Donation;`0206;50;Qgiv;22.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTsQAK;003f40000172pcdAAA;Donation;`2546;105;Qgiv;22.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTtQAK;0035G00002ARkWbQAL;Donation;`1546;105;Qgiv;22.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTuQAK;0035G00002ARkWcQAL;Donation;`4749;100;Qgiv;22.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlTvQAK;0035G00002ARkWdQAL;Donation;`0958;50;Qgiv;22.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlU1QAK;0035G00002ARkYKQA1;Donation;`4380;44,44;Qgiv;22.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlU2QAK;003f400001Np4bqAAB;Donation;`2477;100;Qgiv;21.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlU3QAK;0035G00002ARkYLQA1;Donation;`1613;200;Qgiv;21.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlU4QAK;003f400001Th9szAAB;Donation;`4827;100;Qgiv;21.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlU5QAK;0035G00002ARkYMQA1;Donation;`2898;50;Qgiv;21.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlU6QAK;0035G00001j9F3YQAU;Donation;`2894;100;Qgiv;20.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlU7QAK;0035G00001gwkTaQAI;Donation;`1836;250;Qgiv;19.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlU8QAK;0035G00002ARkYNQA1;Donation;`0638;50;Qgiv;19.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlU9QAK;0035G00002ARkYOQA1;Donation;`4557;52,5;Qgiv;19.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlUAQA0;003f40000172my3AAA;Donation;`1012;105;Qgiv;19.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlUBQA0;0035G00002ARkYPQA1;Donation;`1243;262,5;Qgiv;19.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlUCQA0;003f40000172qoEAAQ;Donation;`4432;1050;Qgiv;19.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlUDQA0;003f40000172qZdAAI;Donation;`4219;52,5;Qgiv;19.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlUEQA0;003f400001LtyYVAAZ;Donation;`3615;525;Qgiv;18.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlUFQA0;003f40000172pbhAAA;Donation;`3509;105;Qgiv;18.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlUGQA0;0035G00001j8WPbQAM;Donation;`0441;30;Qgiv;16.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
0065G00000oIlUHQA0;0035G00002ARkYQQA1;Donation;`0980;105;Qgiv;16.04.2022;;Closed Won;2022 EWC Peer to Peer Fundraising
